# Team and debut decade per character, from the infobox of each Wikipedia article.
# team: first match among X-Men, Avengers, Fantastic Four, Defenders, X-Force, X-Factor, Alpha Flight, Thunderbolts, S.H.I.E.L.D., Guardians of the Galaxy, Inhumans, Eternals, Heroes for Hire, New Warriors, Excalibur, Asgard, Invaders, Midnight Sons in the article's `alliances` field.
# decade: the first year in the `debut` field, rounded down.
# Built by tools/build_week3_attributes.py.
node_id	team	decade
Genis-Vell	Thunderbolts	1990
Ghost_Rider	Avengers	1970
Ghost_Rider_(Danny_Ketch)	Fantastic Four	1990
Ghost_Rider_(Johnny_Blaze)	Avengers	1970
Gladiator_(Kallark)	Guardians of the Galaxy	1970
Golem_(Marvel_Comics)	S.H.I.E.L.D.	1970
Gorgon_(Inhuman)	Fantastic Four	1960
Gremlin_(comics)		1970
Guardian_(Marvel_Comics)	Alpha Flight	1970
Guardsman_(character)		1970
Gwenpool	Avengers	2010
Hank_Pym	Avengers	1960
Happy_Sam_Sawyer		1960
Hawkeye_(comics)		
Helix_(Marvel_Comics)	New Warriors	1990
Hellfire_(J._T._Slade)		2000
Hellion_(character)		2000
Hercules_(Marvel_Comics)	Avengers	1940
Hit-Monkey	Avengers	2010
Hornet_(comics)		1970
Hrimhari	X-Force	1980
Hulk	Avengers	1960
Hulk_2099	Defenders	1990
Hulkling	Avengers	2000
Human_Fly_(character)		1970
Human_Torch	Avengers	1960
Human_Torch_(android)	Avengers	1930
Hybrid_(Scott_Washington)	New Warriors	1990
Hyperion_(character)	Avengers	1960
Ikaris	Eternals	1970
Illuminator_(Marvel_Comics)		1990
Inferno_(Dante_Pertuz)	Inhumans	2010
Iron_Fist_(character)	Avengers	1970
Iron_Lad	Avengers	2000
Iron_Man_(Ultimate_Marvel_character)	S.H.I.E.L.D.	2000
Iron_Man_2020		1980
Isaiah_Bradley		2000
Jack_Frost_(Marvel_Comics)		1940
Jack_Monroe_(character)	Defenders	1970
Janice_Lincoln		2010
Jean_Grey	X-Men	1960
Jean_Grey_(X-Men_film_series)		
Jeffrey_Mace		1940
Jericho_Drumm	X-Men	1970
Jessica_Jones	Avengers	1960
John_Jameson_(character)		1960
Jubilee_(character)	X-Men	1980
Junior_Juniper		1960
Justice_(New_Universe)		1980
Karnak_(character)		1960
Kid_Colt		1940
Killpower		1990
Killraven		1970
Kismet_(Marvel_Comics)		1970
Korvus		2000
Kristoff_Vernard	Fantastic Four	1980
Leech_(character)	X-Men	1980
Lei_Kung_(character)		1970
Living_Lightning	Avengers	1990
Luke_Cage	Avengers	1970
Machine_Man	Avengers	2000
Magician_(Marvel_Comics)		1960
Mahr_Vehl	S.H.I.E.L.D.	2000
Makkari_(character)	Eternals	1940
Man-Thing	Avengers	1970
Mania_(character)		2000
Mark_Hazzard:_Merc		
Marvel_Boy_(Robert_Grayson)		1950
Mayday_Parker	New Warriors	1990
Miracleman_(character)		
Misty_Knight	Defenders	1970
Mockingbird_(Marvel_Comics)	Avengers	1970
Moon_Knight	Avengers	1970
Moondragon	Avengers	1970
Moonglow_(comics)		1980
Morbius	S.H.I.E.L.D.	1970
Motormouth_(comics)		1990
Ms._Marvel		
NFL_SuperPro		
Nightmask		1980
Nightwatch_(character)		1990
Noh-Varr	Avengers	2000
Nomad_(Marvel_Comics)	Defenders	1970
Northstar_(character)	X-Men	1970
Nova_(Richard_Rider)	Avengers	1970
Ogre_(Marvel_Comics)	Thunderbolts	1960
Outlaw_(Marvel_Comics)		1990
Oya_(comics)	X-Men	2010
Paladin_(comics)	Defenders	1970
Patsy_Walker	Avengers	1940
Peggy_Carter	Avengers	1960
Phil_Urich		1990
Phoenix_Force	X-Men	1970
Phyla-Vell	Guardians of the Galaxy	2000
Power_Man_(Victor_Alvarez)	Avengers	2010
Powerhouse_(Marvel_Comics)		1970
Puck_(Marvel_Comics)	X-Force	1980
Quasar_(character)		1970
Quicksilver_(Marvel_Comics)	X-Men	1960
Rachel_Summers	X-Men	1980
Radian_(Morituri)		1980
Radioactive_Man_(comics)	Thunderbolts	2000
Ravage_2099		1990
Raza_Longknife		1970
Red_Guardian	Thunderbolts	1960
Red_Raven_(Marvel_Comics)		1940
Red_Wolf_(comics)		1970
Redneck_(comics)	New Warriors	2000
Ricochet_(comics)	Avengers	1990
Rikki_Barnes		1990
Robbie_Baldwin	Avengers	1980
Rocket_Raccoon	Avengers	1970
Rockman_(character)		1940
Rockslide_(character)	X-Men	2000
Rom_the_Space_Knight		1970
Ronin_(Marvel_Comics)		
Ruby_Summers		2000
Rusty_Collins	X-Factor	1980
Sabra_(character)		1980
Satana_(Marvel_Comics)	Avengers	1970
Scaredycat		1980
Scarlet_Scarab		1970
Scarlet_Spider		
Scarlet_Witch	Avengers	1960
Scatterbrain_(Morituri)		1980
Scorpio_(Marvel_Comics)		1960
Sean_and_Chris		2010
Sentry_(Robert_Reynolds)	Avengers	2000
Shamrock_(comics)		1980
Shang-Chi	Avengers	1970
Shatterstar	X-Force	1990
She-Hulk	Avengers	1970
She-Hulk_(Lyra)	Avengers	2000
Shear_(character)		1980
Shuri_(character)		2000
Silencer_(comics)		1980
Silhouette_(comics)	Avengers	1990
Silk_(character)		2010
Skull_the_Slayer		1970
Snapdragon_(Morituri)		1980
Solarman		1970
Solo_(Marvel_Comics)	Heroes for Hire	1980
Solomon_Kane_(comics)		
Speed_(character)	Avengers	1980
Spider-Bitch_(Ashley_Barton)		2000
Spider-Girl		1970
Spider-Man	Avengers	1960
Spider-Man_(Marvel_Mangaverse)		2000
Spider-Man_Noir		2000
Spider-UK		2010
Spider-Woman		1970
Spider-Woman_(Gwen_Stacy)		2010
Spider-Woman_(Jessica_Drew)	Avengers	1970
Spitfire_(character)	Invaders	1970
Star_Brand		
Star-Lord	Guardians of the Galaxy	1970
Starhawk_(character)	Avengers	1970
Starr_the_Slayer		1970
Steel_Spider		1980
Stingray_(Marvel_Comics)	Avengers	1960
Storm_(Marvel_Comics)	X-Men	1970
Straw_Man_(comics)		1970
Super_Rabbit	Avengers	1940
Surge_(Marvel_Comics)	X-Men	2000
Synapse_(character)		1990
Tarantula_(Marvel_Comics)		1970
The_Union_(Marvel)		2020
The_Witness_(character)		1940
Thena	Eternals	1940
Thin_Man_(character)	Invaders	1940
Thor_Girl		2000
Thunderbolt_(Marvel_Comics)		1970
Thunderclap_(comics)		1980
Timeslip_(comics)	Avengers	1990
Toro_(character)	Invaders	1940
Toxyn		1980
Turbo_(comics)	Avengers	1990
Two-Gun_Kid		1940
Typeface_(character)		2000
U.S._Agent	Avengers	1980
Ulysses_Bloodstone		1970
Union_Jack_(Joseph_Chapman)	Invaders	1980
Union_Jack_(Marvel_Comics)	Invaders	1970
Ursa_Major_(character)		1980
Vance_Astrovik	Avengers	1970
Venom_(character)	X-Men	1980
Vindicator_(comics)	Alpha Flight	1980
Vulcan_(Marvel_Comics)	X-Men	2000
Vyking		1980
War_Machine	Avengers	1970
Werewolf_by_Night	Midnight Sons	1970
White_Tiger_(Heroes_for_Hire)	Heroes for Hire	1990
White_Tiger_(comics)	Avengers	1970
Whizzer_(Robert_Frank)	Avengers	1940
Wild_Child_(character)	X-Factor	1980
Will_o'_the_Wisp_(comics)		1970
William_Burnside_(character)		1970
Wolverine_(Ultimate_Marvel_character)	X-Men	2000
Wolverine_(character)	X-Men	1970
Xorn	X-Men	2000
Yelena_Belova	Thunderbolts	1990
Yo-Yo_Rodriguez	S.H.I.E.L.D.	2000
Zombie_(comics)		1970
